;;;;;;;;;;;;;;
Software Version;3.08.01;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Experiment File Path:;C:\Users\Public\Documents\Experiments\BIOSPACE1-EDNA_QUANTIFICATION_SOIL-PLATE2-20210202-DATA-V001.xpt;;;;;;;;;;;;;
Protocol File Path:;C:\Users\Public\Documents\Gen5\Protocols\HTX protocol_Picogreen_3-plates.prt;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Plate Number;1;;;;;;;;;;;;;
Date;2/2/21;;;;;;;;;;;;;
Time;16:25:01;;;;;;;;;;;;;
Reader Type (Plate 1):;Synergy HTX;;;;;;;;;;;;;
Reader Serial Number (Plate 1):;19101518;;;;;;;;;;;;;
Reading Type;Reader;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Plate Number;2;;;;;;;;;;;;;
Date;2/2/21;;;;;;;;;;;;;
Time;16:50:20;;;;;;;;;;;;;
Reader Type (Plate 2):;Synergy HTX;;;;;;;;;;;;;
Reader Serial Number (Plate 2):;19101518;;;;;;;;;;;;;
Reading Type;Reader;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Plate Number;3;;;;;;;;;;;;;
Date;2/2/21;;;;;;;;;;;;;
Time;17:10:54;;;;;;;;;;;;;
Reader Type (Plate 3):;Synergy HTX;;;;;;;;;;;;;
Reader Serial Number (Plate 3):;19101518;;;;;;;;;;;;;
Reading Type;Reader;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Procedure Details;;;;;;;;;;;;;;
Plate Type;96 WELL PLATE (Use plate lid);;;;;;;;;;;;;
Eject plate on completion;;;;;;;;;;;;;;
Read;Fluorescence Endpoint;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;
;    Excitation: 485/20,  Emission: 528/20;;;;;;;;;;;;;
;    Optics: Top,  Gain: AutoScale;;;;;;;;;;;;;
;Light Source: Tungsten,  Standard Dynamic Range;;;;;;;;;;;;;
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 25;;;;;;;;;;;;;
;Read Height: 4,5 mm;;;;;;;;;;;;;
Automatic gain values;;;;;;;;;;;;;;
Gain(485/20,528/20);64;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Layout;;;;;;;;;;;;;;
;Plate 1;;;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;10;12;
;A;STD1;STD1;;SPL1;SPL9;SPL17;SPL25;SPL33;SPL41;SPL49;SPL49;SPL65;Well ID
