;;;;;;;;;;;;;;;
Well ID;Sample ID;Tree specie;Plate;Well;Conc/Dil;485/20,528/20;Blank 485/20,528/20;[DNA] ng/µl;Count;Mean;Std Dev;CV (%);DNA conc.(ng/ul);Remarks;
SPL238;135L;Spruce;3;H10;;36903;36865;0,824;1;0,824;?????;?????;165;;
SPL251;50L;Spruce;3;E12;;34976;34938;0,781;1;0,781;?????;?????;156;;
SPL236;133L;Spruce;3;F10;;29494;29456;0,659;1;0,659;?????;?????;132;;
SPL229;126L;Spruce;3;G9;;19596;19558;0,437;1;0,437;?????;?????;87;;
SPL252;107L;Spruce;3;F12;;18320;18282;0,409;1;0,409;?????;?????;82;;
SPL211;138L;Spruce;3;E7;;16475;16437;0,368;1;0,368;?????;?????;74;;
SPL228;125L;Spruce;3;F9;;16396;16358;0,366;1;0,366;?????;?????;73;;
SPL246;86L;Spruce;3;H11;;14300;14262;0,319;1;0,319;?????;?????;64;;
SPL212;136L;Spruce;3;F7;;13473;13435;0,3;1;0,3;?????;?????;60;;
SPL190;96L;Spruce;3;H4;;13387;13349;0,298;1;0,298;?????;?????;60;;
SPL204;43L;Spruce;3;F6;;13207;13169;0,294;1;0,294;?????;?????;59;;
SPL231;65L;Spruce;3;A10;;12710;12672;0,283;1;0,283;?????;?????;57;;
SPL247;110L;Spruce;3;A12;;12066;12028;0,269;1;0,269;?????;?????;54;;
SPL203;42L;Spruce;3;E6;;12005;11967;0,268;1;0,268;?????;?????;54;;
SPL245;85L;Spruce;3;G11;;10589;10551;0,236;1;0,236;?????;?????;47;;
SPL195;38L;Spruce;3;E5;;10496;10458;0,234;1;0,234;?????;?????;47;;
SPL210;137L;Spruce;3;D7;;10422;10384;0,232;1;0,232;?????;?????;46;;
SPL224;79L;Spruce;3;B9;;8838;8800;0,197;1;0,197;?????;?????;39;;
SPL213;21L;Spruce;3;G7;;6995;6957;0,156;1;0,156;?????;?????;31;;
SPL234;68L;Spruce;3;D10;;5640;5602;0,125;1;0,125;?????;?????;25;;
SPL202;44L;Spruce;3;D6;;5438;5400;0,121;1;0,121;?????;?????;24;;
SPL209;70L;Spruce;3;C7;;4617;4579;0,102;1;0,102;?????;?????;20;;
SPL226;81L;Spruce;3;D9;;3780;3742;0,084;1;0,084;?????;?????;17;;
SPL250;20L;Spruce;3;D12;;2818;2780;0,062;1;0,062;?????;?????;12;;
SPL194;40L;Spruce;3;D5;;2049;2011;0,045;1;0,045;?????;?????;9;;
SPL208;69L;Spruce;3;B7;;1941;1903;0,043;1;0,043;?????;?????;9;;
SPL249;120L;Spruce;3;C12;;1914;1876;0,042;1;0,042;?????;?????;8;;
SPL201;118L;Spruce;3;C6;;1643;1605;0,036;1;0,036;?????;?????;7;;
SPL207;71L;Spruce;3;A7;;1608;1570;0,035;1;0,035;?????;?????;7;;
SPL192;94L;Spruce;3;B5;;1038;1000;0,022;1;0,022;?????;?????;4;;
SPL183;177L;Pine;3;A4;;2163;2125;0,048;1;0,048;?????;?????;10;;
SPL188;157L;Oak;3;F4;;2163;2125;0,048;1;0,048;?????;?????;10;;
SPL185;167L;Maple;3;C4;;1100;1062;0,024;1;0,024;?????;?????;5;;
SPL186;168L;Larch;3;D4;;5775;5737;0,128;1;0,128;?????;?????;26;;
SPL187;156L;Fir;3;E4;;1838;1800;0,04;1;0,04;?????;?????;8;;
SPL184;176L;Birch;3;B4;;1475;1437;0,032;1;0,032;?????;?????;6;;
SPL193;39L;Beech;3;C5;;15872;15834;0,354;1;0,354;?????;?????;71;;
SPL191;95L;Beech;3;A5;;14987;14949;0,334;1;0,334;?????;?????;67;;
SPL206;36L;Beech;3;H6;;13716;13678;0,306;1;0,306;?????;?????;61;;
SPL196;41L;Beech;3;F5;;9987;9949;0,222;1;0,222;?????;?????;44;;
SPL235;132L;Beech;3;E10;;5824;5786;0,129;1;0,129;?????;?????;26;;
SPL237;134L;Beech;3;G10;;5246;5208;0,116;1;0,116;?????;?????;23;;
