Table 1;;;;;;;;;;;;;
DNA sample ID;Plot ID;Tree ID;Species;Collecting Date;Processing Date;Weight (g) with bag/tube;Needle ;Broadleaf;Remarks;DNA extraction;Homogenization (min x RPM) ;Veluwe ID;DNA quant.
1;BPT445;A;Beech;20200721;20210128;7.3;;x;Predation ;10-65D;3*3500;;
2;BPT445;B;Beech;20200721;20210128;6.1;;x;Predation ;10-60D;3*3500;;
3;BPT445;C;Beech;20200721;20210128;6.2;;x;Predation ;10-70D;3*3500;;
4;BPT450;A;Beech;20200721;;6.2;;x;;;;;
5;BPT450;B;Beech;20200721;;6.0;;x;;;;;
6;BPT450;C;Beech;20200721;;6.2;;x;;;;;
7;BPT101;A;Spruce;20200722;;6.1;x;;;;;;
8;BPT101;B;Spruce;20200722;;9.4;x;;;;;;
9;BPT101;C;Spruce;20200722;;10.1;x;;;;;;
10;BPT101;B;Birch;20200722;;7.4;;x;;;;;
11;BPT102;A;Spruce;20200722;;8.6;x;;;;;;
12;BPT102;B;Spruce;20200722;;6.4;x;;;;;;
13;BPT102;C;Spruce;20200722;;8.8;x;;;;;;
14;BPT103;A;Spruce;20200723;;5.9;x;;;;;;
15;BPT103;B;Beech;20200723;;6.6;;x;;;;;
16;BPT103;C;Spruce;20200723;;5.7;x;;;;;;
17;BPT103;D;Beech;20200723;;6.3;;x;Separate bag with 153;;;;
18;BPT304;A;Spruce;20200723;20210126;7.1;x;;;2-10N;6 x 3500;;
19;BPT304;B;Spruce;20200723;20210126;13.8;x;;;4-11N;6 x 3500;;
20;BPT304;C;Spruce;20200723;20210126;10.1;x;;;6-11N;6 x 3500;;
21;BPT307;A;Spruce;20200723;20210122;5.9;x;;;10-11N;6 x 3500;;
22;BPT307;B;Spruce;20200723;20210122;8.5;x;;;3-15N;6 x 3500;;
23;BPT307;C;Spruce;20200723;20210122;5.1;x;;;10-11N;6 x 3500;;
24;BPT307;D(3-7, c-2, extra);Beech;20200723;20210122;5.8;;x;;10-90D;3x3500;;
25;BPT301;C;Spruce;20200723;;9.2;x;;;;;;
26;BPT301;A;Spruce;20200724;;9.1;x;;;;;;
27;BPT301;B;Spruce;20200724;;5.5;x;;;;;;
28;BPT208;A;Beech;20200726;;8.1;;x;;;;;
29;BPT208;B;Beech;20200726;;9.0;;x;;;;;
30;BPT208;C;Beech;20200726;;6.4;;x;;;;;
31;BPT206;A;Beech;20200726;;6.1;;x;;;;;
32;BPT206;B;Spruce;20200726;;7.3;x;;;;;;
33;BPT206;C;Spruce;20200726;;7.1;x;;;;;;
34;BPT206;D;Beech;20200726;;6.7;;x;;;;;
35;BPT433;A;Beech;20200727;20210122;8.2;;x;;10-70D;3x3500;;
36;BPT433;B;Beech;20200727;20210122;11.0;;x;;10-50D;3x3500;;
37;BPT433;C;Beech;20200727;20210122;6.5;;x;;10-50D;3x3500;;
38;BPT432;A;Spruce;20200727;20210121;6.1;x;;/;3-14N;4 x 4000;;
39;BPT432;B;Beech;20200727;20210121;8.0;;x;/;10-60D;2 x 4000;;
40;BPT432;C;Fir;20200727;20210121;5.3;x;;Needles easily fell of when handling, spillage in the bead bug, replaced with new sample and extraction run;2-15N;4 x 4000;;
41;BPT432;D;Beech;20200727;20210121;5.0;;x;/;9-93D;2 x 4000;;
42;BPTE102;A;Spruce;20200728;20210122;8.3;x;;;3-9N;6 x 3500;;
43;BPTE102;B;Spruce;20200728;20210122;9.7;x;;;5-13N;6 x 3500;;
44;BPTE102;C;Spruce;20200728;20210122;8.2;x;;;5-15N;6 x 3500;;
45;BPT337;A;Beech;20200729;20210201;5.9;;x;Withering & Predation;10-65D;3x3500;;
46;BPT337;B;Beech;20200729;20210201;7.2;;x;Withering;10-55D;3x3500;;
47;BPT337;C;Beech;20200729;20210201;6.1;;x;Withering;10-60D;3x3500;;
48;BPT342;A;Spruce;20200729;20210127;7.2;x;;;8-23N;6 x 3500;;
49;BPT342;B;Spruce;20200729;20210127;11.7;x;;;7-15N;6 x 3500;;
50;BPT342;C;Spruce;20200729;20210127;8.4;x;;;10-21N;6 x 3500;;
51;BPT120;A;Spruce;20200730;;7.6;x;;;;;;
52;BPT120;B;Beech;20200730;;9.2;;x;;;;;
53;BPT120;C;Spruce;20200730;;5.7;x;;;;;;
54;BPT120;D;Beech;20200730;;6.1;;x;;;;;
55;BPT338;A;Beech;20200801;20210128;6.4;;x;Withering;10-60D;3x3500;;
56;BPT338;B;Beech;20200801;20210128;6.1;;x;Withering & thin leaves;8-70D;3x3500;;
57;BPT338;C;Beech;20200801;20210128;5.9;;x;Browning;10-50D;3x3500;;
58;BPT325;A;Beech;20200801;20210121;5.9;;x;Filter membrane is pink;9-81D;2x3500;;
59;BPT325;B;Beech;20200801;20210121;5.5;;x;Predation ;7-65D;2x3500;;
60;BPT325;C;Beech;20200801;20210121;6.4;;x;Predation ;10-80D;2x3500;;
61;BPT309;A;Spruce;20200801;;5.8;x;;;;;;
62;BPT309;B;Beech;20200801;;7.5;;x;;;;;
63;BPT309;C;Spruce;20200801;;8.3;x;;;;;;
64;BPT309;D;Beech;20200801;;5.1;;x;;;;;
65;BPTE107;A;Spruce;20200803;20210127;7.1;x;;;4-16N;;;
66;BPTE107;B;Beech;20200803;20210127;7.8;;x;Predation ;9-55D;3x3500;;
67;BPTE107;C;Beech;20200803;20210127;6.8;;x;Predation ;10-45D;3x3500;;
68;BPTE107;D;Spruce;20200803;20210127;6.7;x;;/;4-20N;6 x 3500;;
69;BPTE106;A;Spruce;20200803;20210122;9.8;x;;Young branches;5-11N;6 x 3500;;
70;BPTE106;B;Spruce;20200803;20210122;8.9;x;;/;4-10N;6 x 3500;;
71;BPTE106;C;Spruce;20200803;20210122;7.1;x;;/;4-16N;6 x 3500;;
72;BPT207;A;Beech;20200804;20210126;7.3;;x;;10-70D;3x3500;;
73;BPT207;B;Beech;20200804;20210126;8.6;;x;Predation ;10-50D;3x3500;;
74;BPT207;C;Beech;20200804;20210126;5.3;;x;;10-60D;3x3500;;
75;BPT412;A;Spruce;20200805;;9.7;x;;;;;;
76;BPT412;B;Spruce;20200805;;10.5;x;;;;;;
77;BPT412;C;Spruce;20200805;;7.1;x;;;;;;
78;BPT418;A;Beech;20200805;20210127;9.9;;x;;10-70D;4x3500;;
79;BPT418;B;Spruce;20200805;20210127;13.8;x;;;2-7N;6 x 3500;;
80;BPT418;C;Beech;20200805;20210127;9.6;;x;Predation ;10-70D;4x3500;;
